prison	Bigram(@_break)	402.557678087335	94.9542333656199
break	-Bigram(prison_@)	402.422899113322	94.8514148778992
bleed	-Bigram(nose_@)	401.696317516774	2.57446984090761
sorry	Bigram(@_hun)	396.640838183372	1.30314443333805
freezing	-Bigram(keeps_@)	393.934204254965	0.667003449901326
suicide	-Bigram(committed_@)	392.712150158355	4.36391155787275
junk	Bigram(@_food)	392.043186455103	269.903366035701
trouble	Bigram(@_sleeping)	391.98367919378	8.5461468419837
tired	-Bigram(sooooo_@)	389.899093200772	20.4908070852614
hate	Bigram(@_mondays)	386.915355754928	20.7238628039174
sick	-Bigram(Feeling_@)	386.327156613807	0.231213122404231
hurts	-Bigram(mouth_@)	384.162743141138	0.0966597624710726
ache	-Bigram(belly_@)	383.0177623311469	0
bored	-Bigram(super_@)	380.170141374122	7.6329200781285
bad	Bigram(@_dreams)	379.960928247936	0.427340590486465
sad	Bigram(@_story)	378.061394951965	0.397209046043129
sob	Bigram(@_sob)	375.344348309717	0.525968813024613
bored	-Bigram(soooo_@)	372.816393193557	2.97772414313546
sob	-Bigram(sob_@)	371.54334517677	0.522758143907665
sorry	Bigram(@_guys)	367.768487814176	9.5364965572026
cry	-Bigram(might_@)	366.499272414935	0.0278669732282188
difficulties	-Bigram(technical_@)	363.217104199177	16.0355628668482
infection	-Bigram(eye_@)	362.340089642142	0.20098698326793
crappy	Bigram(@_weather)	362.06354847655	7.99919534229032
sick	-Bigram(Being_@)	361.902580148588	3.747018689376
hurting	-Bigram(stop_@)	361.507291024304	0.0981210320502583
poor	-Bigram(aww_@)	358.253949123077	13.0254580234168
hate	Bigram(@_Mondays)	353.458331288813	2.91056213379181
symptoms	-Bigram(withdrawal_@)	352.882545609888	21.1246460825863
splitting	Bigram(@_headache)	352.08546915218	2.72503136983804
pains	-Bigram(stomach_@)	351.497516684012	0.252214574616172
headache	-Bigram(splitting_@)	351.055561787651	2.71737944752328
bored	Bigram(@_bored)	348.614330366229	6.75286227258071
fell	Bigram(@_through)	347.056281382936	2.84415865902254
miss	-Bigram(Will_@)	345.25679563064	3.827626431181
sad	-Bigram(Kinda_@)	342.279360207301	0.946965290342971
hurts	-Bigram(knee_@)	341.166747803513	2.48566724396904
hurts	-Bigram(Head_@)	340.437023586793	0.161135207020512
hate	Bigram(@_Harry)	340.052440660119	0.0553564918293085
failing	Bigram(@_miserably)	338.639649098159	15.3668081763987
sucks	-Bigram(totally_@)	338.617366787576	1.30904586299981
miserably	-Bigram(failing_@)	338.259228781894	15.3668081763987
miss	Bigram(@_having)	337.380510744874	2.45713298170978
ache	-Bigram(Tummy_@)	335.53560310360075	0
hurts	-Bigram(leg_@)	335.211112211081	0.115955725216955
hate	Bigram(@_seeing)	333.710501598968	0.0965248596476184
miss	Bigram(@_seeing)	332.444313955534	14.1122055221811
sucks	-Bigram(which_@)	332.058571965752	2.71618350694468
hate	Bigram(@_waiting)	329.524845300582	1.56711403205522
sad	-Bigram(thats_@)	326.744349991485	0.755931616018461
fell	Bigram(@_asleep.)	324.448492662052	34.6144007518599
lost	-Bigram(Cavs_@)	323.475525502633	1.4001354061042
lost	-Bigram(We_@)	323.382303916568	0.952130079108681
sick	-Bigram(kinda_@)	321.348174548811	1.82237669202516
missed	-Bigram(totally_@)	320.566833679662	3.70446273083691
sick	-Bigram(super_@)	319.306253065556	1.95244569160282
sucks	-Bigram(kinda_@)	318.519506211843	26.249813113101
ache	-Bigram(ear_@)	318.148228700219	2.19220634009673
